DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2460;;139 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
2461;;101 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
2462;;157 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2463;;152 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2464;;34 mm;300x320;Yes;24 bit/pixel;Yes;
2465;;139 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2466;;139.5 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2467;;134.6 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2468;;113.1 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
2469;;129 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2470;;152.4 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;LED;
2471;;139.7 mm;720x144;Color IPS TFT LCD display;24 bit/pixel;Yes;
2472;;152 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2473;;139 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Yes;
2474;;143.5 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2475;;138 mm;480x960;Color TN-TFT LCD display;24 bit/pixel;Yes;
2476;;83.8 mm;480x844;Color IPS TFT LCD display;24 bit/pixel;Yes;
2477;;145.5 mm;1440x2560;Color ASV TFT LCD display;24 bit/pixel;LED;120 Hz
2478;;134.62 mm;1080x1920;Color ASV TFT LCD display;24 bit/pixel;Yes;
2479;;139.7 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Self-illuminating;
2480;;130.2 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2481;;139 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2482;;114.3 mm;540x960;Color IPS TFT LCD display;24 bit/pixel;LED;
2483;;132.1 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2484;;152.21 mm;1080x2160;Color ASV TFT LCD display;24 bit/pixel;LED;
2485;;163.3 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2486;;152.2 mm;720x1440;Color ASV TFT LCD display;24 bit/pixel;Yes;
2487;;152.21 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2488;;127 mm;484x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
2489;;35.4 mm;390x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2490;;35.4 mm;400x400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2491;;132 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
2492;;203.2 mm;1920x1200;Color TN-TFT LCD display;24 bit/pixel;Yes;
2493;;127 mm;1080x1920;Color ASV TFT LCD display;24 bit/pixel;Yes;
2494;;312.42 mm;1920x1080;Color TN-TFT LCD display;24 bit/pixel;Yes;
2495;;163.32 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2496;;106.7 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2497;;132.08 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
2498;;30.4 mm;240x240;Color TN-TFT LCD display;24 bit/pixel;Yes;
2499;;139 mm;720x1080;Color AM-OLED display;24 bit/pixel;Yes;
2500;;256 mm;1920x1200;Color TN-TFT LCD display;24 bit/pixel;Yes;
2501;;152.1 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2502;;139.7 mm;1080x2040;Color ASV TFT LCD display;24 bit/pixel;LED;
2503;;139.19 mm;1080x2040;Color ASV TFT LCD display;24 bit/pixel;LED;
2504;;127 mm;720x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2505;;124.46 mm;1080x2032;Color ASV TFT LCD display;24 bit/pixel;Yes;120 Hz
2506;;150.6 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2507;;127 mm;540x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2508;;152.14 mm;1080x2160;Color TN-TFT LCD display;24 bit/pixel;LED;
2509;;138.786 mm;2160x3840;Color TN-TFT LCD display;24 bit/pixel;LED;
2510;;163.322 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
